season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28.0,1,1,1,22
1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39.0,1,1,1,23
1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17.0,1,1,2,0
1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17.0,1,1,2,1
1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9.0,1,1,2,2
1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6.0,1,1,2,3
1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3.0,1,1,2,4
1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2.0,1,1,2,6
1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1.0,1,1,2,7
1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8.0,1,1,2,8
1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20.0,1,1,2,9
1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53.0,1,1,2,10
1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70.0,1,1,2,11
1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93.0,1,1,2,12
1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75.0,1,1,2,13
1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59.0,1,1,2,14
1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74.0,1,1,2,15
1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76.0,1,1,2,16
1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65.0,1,1,2,17
1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53.0,1,1,2,18
1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30.0,1,1,2,19
1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22.0,1,1,2,20
1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31.0,1,1,2,21
1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9.0,1,1,2,22
1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8.0,1,1,2,23
1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5.0,1,1,3,0
1,0,1,1,8.2,8.335,44,27.9993,0.0,2.0,2.0,1,1,3,1
1,0,1,1,6.56,6.82,47,26.0027,0.0,1.0,1.0,1,1,3,4
1,0,1,1,6.56,6.82,47,19.0012,0.0,3.0,3.0,1,1,3,5
1,0,1,1,5.74,5.305,50,26.0027,0.0,30.0,30.0,1,1,3,6
1,0,1,1,5.74,6.82,50,12.998,1.0,63.0,64.0,1,1,3,7
1,0,1,1,5.74,6.06,50,19.0012,1.0,153.0,154.0,1,1,3,8
1,0,1,1,6.56,6.82,43,26.0027,7.0,81.0,88.0,1,1,3,9
1,0,1,1,7.38,8.335,43,16.9979,11.0,33.0,44.0,1,1,3,10
1,0,1,1,8.2,9.09,40,22.0028,10.0,41.0,51.0,1,1,3,11
1,0,1,1,9.02,10.605,35,19.9995,13.0,48.0,61.0,1,1,3,12
1,0,1,1,9.84,10.605,35,19.0012,8.0,53.0,61.0,1,1,3,13
1,0,1,1,10.66,12.12,30,19.0012,11.0,66.0,77.0,1,1,3,14
1,0,1,1,10.66,12.12,30,16.9979,14.0,58.0,72.0,1,1,3,15
1,0,1,1,10.66,12.12,30,16.9979,9.0,67.0,76.0,1,1,3,16
1,0,1,1,9.84,11.365,30,15.0013,11.0,146.0,157.0,1,1,3,17
1,0,1,1,9.84,12.88,32,7.0015,9.0,148.0,157.0,1,1,3,18
1,0,1,1,8.2,12.88,47,7.076143887612039,8.0,102.0,110.0,1,1,3,19
1,0,1,1,8.2,11.365,47,7.0015,3.0,49.0,52.0,1,1,3,20
1,0,1,1,7.38,9.85,64,8.9981,3.0,49.0,52.0,1,1,3,21
1,0,1,1,5.74,7.575,69,8.9981,0.0,20.0,20.0,1,1,3,22
1,0,1,1,7.38,10.605,55,7.0015,1.0,11.0,12.0,1,1,3,23
1,0,1,1,6.56,9.09,55,7.0015,0.0,5.0,5.0,1,1,4,0
1,0,1,1,6.56,9.09,59,7.0015,0.0,2.0,2.0,1,1,4,1
1,0,1,1,5.74,7.575,63,8.9981,0.0,1.0,1.0,1,1,4,2
1,0,1,1,5.74,9.09,63,6.0032,0.0,2.0,2.0,1,1,4,4
1,0,1,1,4.92,7.575,68,7.0015,0.0,4.0,4.0,1,1,4,5
1,0,1,1,4.92,7.575,74,7.0015,0.0,36.0,36.0,1,1,4,6
1,0,1,1,4.92,7.575,74,8.9981,2.0,92.0,94.0,1,1,4,7
1,0,1,1,5.74,7.575,69,11.0014,2.0,177.0,179.0,1,1,4,8
1,0,1,1,6.56,7.575,64,15.0013,2.0,98.0,100.0,1,1,4,9
1,0,1,2,6.56,6.82,69,22.0028,5.0,37.0,42.0,1,1,4,10
1,0,1,1,9.02,10.605,51,19.9995,7.0,50.0,57.0,1,1,4,11
1,0,1,1,9.02,11.365,51,11.0014,12.0,66.0,78.0,1,1,4,12
1,0,1,1,9.84,11.365,56,12.998,18.0,79.0,97.0,1,1,4,13
1,0,1,1,10.66,12.88,52,15.0013,9.0,54.0,63.0,1,1,4,14
1,0,1,1,11.48,13.635,52,16.9979,17.0,48.0,65.0,1,1,4,15
1,0,1,1,12.3,14.395,49,16.9979,15.0,68.0,83.0,1,1,4,16
1,0,1,1,11.48,13.635,48,15.0013,10.0,202.0,212.0,1,1,4,17
1,0,1,1,10.66,12.88,48,12.998,3.0,179.0,182.0,1,1,4,18
1,0,1,1,9.84,12.88,48,7.0015,2.0,110.0,112.0,1,1,4,19
1,0,1,1,9.84,12.88,48,7.0015,1.0,53.0,54.0,1,1,4,20
1,0,1,1,9.02,13.635,64,7.236779506607246,0.0,48.0,48.0,1,1,4,21
1,0,1,1,9.02,12.88,64,6.0032,1.0,34.0,35.0,1,1,4,22
1,0,1,1,8.2,11.365,69,6.0032,2.0,9.0,11.0,1,1,4,23
1,0,1,1,8.2,12.88,64,5.817126819344936,0.0,6.0,6.0,1,1,5,0
1,0,1,1,6.56,9.85,74,6.0032,0.0,6.0,6.0,1,1,5,1
1,0,1,1,6.56,9.85,74,6.0032,0.0,2.0,2.0,1,1,5,2
1,0,1,1,9.84,11.365,48,15.0013,0.0,2.0,2.0,1,1,5,4
1,0,1,1,9.02,11.365,47,11.0014,0.0,3.0,3.0,1,1,5,5
1,0,1,1,8.2,9.85,47,15.0013,0.0,33.0,33.0,1,1,5,6
1,0,1,1,7.38,9.09,43,12.998,1.0,87.0,88.0,1,1,5,7
1,0,1,1,8.2,9.09,40,19.9995,3.0,192.0,195.0,1,1,5,8
1,0,1,1,9.02,9.85,37,22.0028,6.0,109.0,115.0,1,1,5,9
1,0,1,1,9.02,9.85,37,22.0028,4.0,53.0,57.0,1,1,5,10
1,0,1,1,10.66,11.365,33,22.0028,12.0,34.0,46.0,1,1,5,11
1,0,1,1,10.66,11.365,33,22.0028,5.0,74.0,79.0,1,1,5,12
1,0,1,1,11.48,12.88,30,19.9995,6.0,65.0,71.0,1,1,5,13
1,0,1,1,12.3,14.395,28,12.998,10.0,52.0,62.0,1,1,5,14
1,0,1,1,12.3,14.395,28,12.998,7.0,55.0,62.0,1,1,5,15
1,0,1,1,12.3,15.91,28,6.0032,4.0,85.0,89.0,1,1,5,16
1,0,1,1,9.84,11.365,38,12.998,4.0,186.0,190.0,1,1,5,17
1,0,1,1,9.84,12.12,38,8.9981,3.0,166.0,169.0,1,1,5,18
1,0,1,1,9.84,12.88,38,7.0015,5.0,127.0,132.0,1,1,5,19
1,0,1,1,9.02,11.365,47,11.0014,7.0,82.0,89.0,1,1,5,20
1,0,1,1,8.2,9.85,51,12.998,3.0,40.0,43.0,1,1,5,21
1,0,1,1,7.38,9.85,55,8.9981,1.0,41.0,42.0,1,1,5,22
1,0,1,1,8.2,12.88,47,8.124847866437468,1.0,18.0,19.0,1,1,5,23
1,0,1,1,7.38,12.12,55,7.202498673391068,0.0,11.0,11.0,1,1,6,0
1,0,1,1,6.56,11.365,64,6.639281430167227,0.0,4.0,4.0,1,1,6,1
1,0,1,1,6.56,11.365,64,5.623550250664369,0.0,2.0,2.0,1,1,6,2
1,0,1,2,6.56,9.85,64,6.0032,0.0,1.0,1.0,1,1,6,4
1,0,1,2,5.74,9.09,69,6.0032,0.0,4.0,4.0,1,1,6,5
1,0,1,2,5.74,8.335,63,7.0015,0.0,36.0,36.0,1,1,6,6
1,0,1,2,6.56,11.365,59,6.148685524916649,0.0,95.0,95.0,1,1,6,7
1,0,1,1,6.56,11.365,59,6.5745768914101665,3.0,216.0,219.0,1,1,6,8
1,0,1,2,7.38,12.12,51,5.9683868300620535,6.0,116.0,122.0,1,1,6,9
1,0,1,1,8.2,12.88,47,5.653057846943874,3.0,42.0,45.0,1,1,6,10
1,0,1,1,9.02,12.88,44,6.0032,2.0,57.0,59.0,1,1,6,11
1,0,1,1,10.66,14.395,35,6.1010520123220395,6.0,78.0,84.0,1,1,6,12
1,0,1,1,10.66,13.635,35,7.0015,12.0,55.0,67.0,1,1,6,13
1,0,1,1,11.48,13.635,36,11.0014,11.0,59.0,70.0,1,1,6,14
1,0,1,1,11.48,13.635,36,11.013485155350132,8.0,54.0,62.0,1,1,6,15
1,0,1,1,10.66,12.88,38,11.0014,12.0,74.0,86.0,1,1,6,16
1,0,1,1,9.02,11.365,51,11.0014,9.0,163.0,172.0,1,1,6,17
1,0,1,1,9.02,11.365,51,8.9981,5.0,158.0,163.0,1,1,6,18
1,0,1,1,9.02,12.88,55,6.0032,3.0,109.0,112.0,1,1,6,19
1,0,1,1,8.2,10.605,51,11.0014,3.0,66.0,69.0,1,1,6,20
1,0,1,2,9.02,10.605,55,15.0013,0.0,48.0,48.0,1,1,6,21
1,0,1,2,9.02,10.605,51,19.0012,1.0,51.0,52.0,1,1,6,22
1,0,1,2,8.2,9.85,59,12.998,4.0,19.0,23.0,1,1,6,23
1,0,1,2,8.2,9.85,64,12.998,4.0,13.0,17.0,1,1,7,0
1,0,1,2,8.2,9.85,69,15.0013,2.0,5.0,7.0,1,1,7,1
1,0,1,2,8.2,9.85,69,15.0013,0.0,1.0,1.0,1,1,7,2
1,0,1,2,8.2,10.605,69,8.9981,0.0,1.0,1.0,1,1,7,4
1,0,1,3,9.02,13.635,55,6.836139399464184,0.0,5.0,5.0,1,1,7,5
1,0,1,2,8.2,12.88,69,8.67141901177065,8.0,26.0,34.0,1,1,7,6
1,0,1,1,8.2,10.605,69,8.9981,8.0,76.0,84.0,1,1,7,7
1,0,1,1,8.2,9.85,51,16.9979,20.0,190.0,210.0,1,1,7,8
1,0,1,1,8.2,9.09,47,19.9995,9.0,125.0,134.0,1,1,7,9
1,0,1,1,9.02,9.85,37,22.0028,16.0,47.0,63.0,1,1,7,10
1,0,1,2,8.2,9.85,40,15.0013,19.0,48.0,67.0,1,1,7,11
1,0,1,2,8.2,9.85,37,16.9979,9.0,50.0,59.0,1,1,7,12
1,0,1,2,8.2,9.09,37,19.0012,9.0,64.0,73.0,1,1,7,13
1,0,1,2,8.2,9.85,40,16.9979,7.0,43.0,50.0,1,1,7,14
1,0,1,2,8.2,10.605,37,11.0014,9.0,63.0,72.0,1,1,7,15
1,0,1,2,8.2,10.605,37,11.0014,5.0,82.0,87.0,1,1,7,16
1,0,1,2,8.2,12.88,37,7.437762099793163,9.0,178.0,187.0,1,1,7,17
1,0,1,1,8.2,11.365,40,6.0032,7.0,116.0,123.0,1,1,7,18
1,0,1,1,6.56,9.85,55,6.0032,3.0,92.0,95.0,1,1,7,19
1,0,1,1,7.38,10.605,47,7.0015,1.0,50.0,51.0,1,1,7,20
1,0,1,1,7.38,9.85,47,8.9981,0.0,39.0,39.0,1,1,7,21
1,0,1,2,7.38,9.85,43,11.0014,2.0,34.0,36.0,1,1,7,22
1,0,1,2,7.38,9.85,51,11.0014,1.0,14.0,15.0,1,1,7,23
1,0,0,2,7.38,9.85,51,11.0014,1.0,24.0,25.0,1,1,8,0
1,0,0,2,7.38,10.605,55,6.0032,1.0,15.0,16.0,1,1,8,1
1,0,0,2,7.38,12.12,55,9.475758711209398,3.0,13.0,16.0,1,1,8,2
1,0,0,3,7.38,9.85,55,11.0014,0.0,7.0,7.0,1,1,8,3
1,0,0,3,7.38,9.85,55,11.0014,0.0,1.0,1.0,1,1,8,4
1,0,0,2,6.56,8.335,74,11.0014,0.0,5.0,5.0,1,1,8,5
1,0,0,2,6.56,8.335,74,11.0014,0.0,2.0,2.0,1,1,8,6
1,0,0,2,6.56,9.09,74,7.0015,1.0,8.0,9.0,1,1,8,7
1,0,0,3,6.56,9.09,93,7.0015,0.0,15.0,15.0,1,1,8,8
1,0,0,3,6.56,9.09,93,7.0015,0.0,20.0,20.0,1,1,8,9
1,0,0,2,7.38,9.85,80,11.0014,5.0,56.0,61.0,1,1,8,10
1,0,0,2,8.2,9.09,69,26.0027,2.0,60.0,62.0,1,1,8,11
1,0,0,2,8.2,9.09,59,23.9994,8.0,90.0,98.0,1,1,8,12
1,0,0,1,8.2,9.09,44,22.0028,7.0,95.0,102.0,1,1,8,13
1,0,0,1,8.2,8.335,32,32.9975,12.0,83.0,95.0,1,1,8,14
1,0,0,1,8.2,8.335,32,30.0026,5.0,69.0,74.0,1,1,8,15
1,0,0,1,7.38,6.82,29,30.0026,8.0,68.0,76.0,1,1,8,16
1,0,0,1,6.56,6.06,37,36.9974,5.0,64.0,69.0,1,1,8,17
1,0,0,1,5.74,6.06,39,19.9995,3.0,52.0,55.0,1,1,8,18
1,0,0,1,5.74,6.06,36,16.9979,4.0,26.0,30.0,1,1,8,19
1,0,0,1,4.92,6.06,36,16.9979,0.0,28.0,28.0,1,1,8,20
1,0,0,1,4.92,5.305,39,23.9994,2.0,35.0,37.0,1,1,8,21
1,0,0,1,4.92,5.305,36,26.0027,1.0,33.0,34.0,1,1,8,22
1,0,0,1,4.1,3.03,39,30.0026,0.0,22.0,22.0,1,1,8,23
1,0,0,1,4.1,3.79,42,26.0027,1.0,24.0,25.0,1,1,9,0
1,0,0,1,4.1,3.03,42,31.0009,0.0,12.0,12.0,1,1,9,1
1,0,0,1,4.1,3.03,46,31.0009,0.0,11.0,11.0,1,1,9,2
1,0,0,1,4.1,3.79,46,27.9993,0.0,4.0,4.0,1,1,9,3
1,0,0,1,3.28,4.545,53,12.998,0.0,1.0,1.0,1,1,9,4
1,0,0,1,3.28,4.545,53,12.998,0.0,1.0,1.0,1,1,9,5
1,0,0,1,4.1,4.545,49,19.0012,0.0,1.0,1.0,1,1,9,6
1,0,0,1,3.28,4.545,53,12.998,1.0,5.0,6.0,1,1,9,7
1,0,0,1,4.1,4.545,49,19.0012,0.0,10.0,10.0,1,1,9,8
1,0,0,1,4.92,3.79,46,35.0008,0.0,19.0,19.0,1,1,9,9
1,0,0,1,5.74,5.305,43,26.0027,0.0,49.0,49.0,1,1,9,10
1,0,0,1,6.56,6.06,40,35.0008,2.0,47.0,49.0,1,1,9,11
1,0,0,1,7.38,6.82,37,30.0026,4.0,79.0,83.0,1,1,9,12
1,0,0,1,8.2,8.335,34,30.0026,6.0,69.0,75.0,1,1,9,13
1,0,0,1,9.02,9.09,32,31.0009,8.0,64.0,72.0,1,1,9,14
1,0,0,1,9.02,9.85,35,23.9994,5.0,77.0,82.0,1,1,9,15
1,0,0,1,8.2,8.335,34,30.0026,13.0,79.0,92.0,1,1,9,16
1,0,0,1,7.38,7.575,37,26.0027,3.0,59.0,62.0,1,1,9,17
1,0,0,1,6.56,6.82,40,22.0028,4.0,44.0,48.0,1,1,9,18
1,0,0,1,6.56,6.82,43,22.0028,1.0,40.0,41.0,1,1,9,19
1,0,0,1,5.74,6.06,46,16.9979,0.0,38.0,38.0,1,1,9,20
1,0,0,1,5.74,5.305,46,27.9993,1.0,19.0,20.0,1,1,9,21
1,0,0,1,5.74,6.06,46,19.9995,5.0,10.0,15.0,1,1,9,22
1,0,0,1,4.92,6.82,50,12.998,0.0,6.0,6.0,1,1,9,23
1,0,1,1,4.92,6.06,50,19.0012,2.0,3.0,5.0,1,1,10,0
1,0,1,1,4.92,6.06,50,19.0012,1.0,0.0,1.0,1,1,10,1
1,0,1,1,4.92,6.06,50,15.0013,0.0,3.0,3.0,1,1,10,2
1,0,1,1,4.92,6.06,50,15.0013,0.0,1.0,1.0,1,1,10,3
1,0,1,1,4.1,6.06,54,8.9981,1.0,2.0,3.0,1,1,10,4
1,0,1,1,4.1,5.305,54,16.9979,0.0,3.0,3.0,1,1,10,5
1,0,1,1,4.92,6.06,50,19.0012,0.0,31.0,31.0,1,1,10,6
1,0,1,1,4.92,6.06,50,15.0013,2.0,75.0,77.0,1,1,10,7
1,0,1,2,4.92,6.06,50,19.0012,4.0,184.0,188.0,1,1,10,8
1,0,1,2,5.74,6.06,50,16.9979,2.0,92.0,94.0,1,1,10,9
1,0,1,2,5.74,6.06,50,19.9995,0.0,31.0,31.0,1,1,10,10
1,0,1,2,6.56,6.82,47,19.0012,2.0,28.0,30.0,1,1,10,11
1,0,1,2,8.2,9.09,40,19.0012,5.0,47.0,52.0,1,1,10,12
1,0,1,2,8.2,9.09,40,19.0012,4.0,50.0,54.0,1,1,10,13
1,0,1,2,8.2,9.85,40,15.0013,0.0,47.0,47.0,1,1,10,14
1,0,1,2,8.2,9.85,40,15.0013,2.0,43.0,45.0,1,1,10,15
1,0,1,1,8.2,10.605,40,8.9981,4.0,70.0,74.0,1,1,10,16
1,0,1,1,8.2,11.365,40,7.0015,4.0,174.0,178.0,1,1,10,17
1,0,1,1,8.2,9.85,40,15.0013,1.0,154.0,155.0,1,1,10,18
1,0,1,1,6.56,8.335,47,11.0014,3.0,92.0,95.0,1,1,10,19
1,0,1,1,6.56,8.335,50,11.0014,1.0,73.0,74.0,1,1,10,20
1,0,1,1,5.74,6.82,59,12.998,1.0,37.0,38.0,1,1,10,21
1,0,1,1,5.74,7.575,59,11.0014,2.0,22.0,24.0,1,1,10,22
1,0,1,1,5.74,7.575,59,11.0014,0.0,18.0,18.0,1,1,10,23
1,0,1,1,5.74,8.335,59,7.0015,2.0,10.0,12.0,1,1,11,0
1,0,1,1,5.74,7.575,59,11.0014,0.0,3.0,3.0,1,1,11,1
1,0,1,2,6.56,7.575,55,12.998,0.0,3.0,3.0,1,1,11,2
1,0,1,2,6.56,9.09,55,8.9981,0.0,6.0,6.0,1,1,11,5
1,0,1,2,6.56,9.09,55,8.9981,0.0,27.0,27.0,1,1,11,6
1,0,1,2,6.56,11.365,55,7.947151706909117,2.0,97.0,99.0,1,1,11,7
1,0,1,2,7.38,10.605,51,6.0032,3.0,214.0,217.0,1,1,11,8
1,0,1,2,7.38,9.85,51,11.0014,3.0,127.0,130.0,1,1,11,9
1,0,1,2,8.2,10.605,51,11.0014,3.0,51.0,54.0,1,1,11,10
1,0,1,2,8.2,10.605,47,8.9981,4.0,31.0,35.0,1,1,11,11
1,0,1,2,8.2,11.365,51,7.0015,2.0,55.0,57.0,1,1,11,12
1,0,1,2,8.2,11.365,59,6.0032,6.0,46.0,52.0,1,1,11,13
1,0,1,2,8.2,11.365,59,6.0032,3.0,60.0,63.0,1,1,11,14
1,0,1,2,6.56,9.85,80,6.0032,2.0,45.0,47.0,1,1,11,15
1,0,1,2,6.56,7.575,86,15.0013,4.0,72.0,76.0,1,1,11,16
1,0,1,2,6.56,7.575,86,15.0013,6.0,130.0,136.0,1,1,11,17
1,0,1,3,6.56,9.09,93,7.0015,1.0,94.0,95.0,1,1,11,18
1,0,1,3,6.56,11.365,93,11.20481087887517,0.0,51.0,51.0,1,1,11,19
1,0,1,3,6.56,7.575,93,12.998,0.0,32.0,32.0,1,1,11,20
1,0,1,3,6.56,9.85,86,6.0032,0.0,20.0,20.0,1,1,11,21
1,0,1,3,6.56,9.09,93,7.0015,1.0,28.0,29.0,1,1,11,22
1,0,1,3,6.56,9.85,93,6.0032,1.0,18.0,19.0,1,1,11,23
1,0,1,2,6.56,9.85,86,6.0032,0.0,7.0,7.0,1,1,12,0
1,0,1,2,6.56,9.09,86,7.0015,0.0,6.0,6.0,1,1,12,1
1,0,1,1,5.74,7.575,86,8.9981,0.0,1.0,1.0,1,1,12,2
1,0,1,1,5.74,7.575,86,11.0014,0.0,5.0,5.0,1,1,12,5
1,0,1,1,4.92,7.575,93,8.9981,0.0,16.0,16.0,1,1,12,6
1,0,1,1,5.74,7.575,69,8.9981,0.0,54.0,54.0,1,1,12,7
1,0,1,1,6.56,8.335,59,11.0014,3.0,125.0,128.0,1,1,12,8
1,0,1,1,6.56,6.82,59,22.0028,3.0,78.0,81.0,1,1,12,9
1,0,1,1,7.38,9.09,55,15.0013,0.0,39.0,39.0,1,1,12,10
1,0,1,1,8.2,9.09,51,26.0027,3.0,32.0,35.0,1,1,12,11
1,0,1,1,8.2,7.575,47,29.563511369350078,3.0,52.0,55.0,1,1,12,12
1,0,1,1,9.02,9.85,44,23.9994,0.0,49.0,49.0,1,1,12,13
1,0,1,1,8.2,9.09,47,22.0028,0.0,44.0,44.0,1,1,12,14
1,0,1,1,8.2,8.335,47,27.9993,1.0,48.0,49.0,1,1,12,15
1,0,1,1,9.02,9.85,44,22.0028,5.0,63.0,68.0,1,1,12,16
1,0,1,1,8.2,9.09,47,23.9994,0.0,139.0,139.0,1,1,12,17
1,0,1,1,8.2,7.575,47,35.0008,2.0,135.0,137.0,1,1,12,18
1,0,1,1,7.38,7.575,47,27.9993,1.0,82.0,83.0,1,1,12,19
1,0,1,1,6.56,6.82,50,22.0028,2.0,54.0,56.0,1,1,12,20
1,0,1,1,6.56,6.82,55,22.0028,0.0,57.0,57.0,1,1,12,21
1,0,1,1,6.56,6.06,55,30.0026,1.0,32.0,33.0,1,1,12,22
1,0,1,1,5.74,5.305,59,27.9993,1.0,19.0,20.0,1,1,12,23
1,0,1,1,5.74,6.06,59,19.0012,1.0,6.0,7.0,1,1,13,0
1,0,1,1,5.74,6.06,50,19.0012,0.0,2.0,2.0,1,1,13,1
1,0,1,1,5.74,6.06,50,23.9994,0.0,2.0,2.0,1,1,13,2
1,0,1,1,5.74,6.06,50,22.0028,0.0,3.0,3.0,1,1,13,3
1,0,1,1,5.74,6.06,50,16.9979,0.0,4.0,4.0,1,1,13,4
1,0,1,1,5.74,6.06,50,19.9995,0.0,3.0,3.0,1,1,13,5
1,0,1,1,4.92,7.575,54,8.9981,0.0,28.0,28.0,1,1,13,6
1,0,1,1,4.92,7.575,54,8.9981,0.0,72.0,72.0,1,1,13,7
1,0,1,1,5.74,6.82,50,12.998,5.0,197.0,202.0,1,1,13,8
1,0,1,1,5.74,6.06,50,22.0028,2.0,137.0,139.0,1,1,13,9
1,0,1,2,6.56,6.82,50,23.9994,2.0,36.0,38.0,1,1,13,10
1,0,1,2,8.2,8.335,44,30.0026,4.0,33.0,37.0,1,1,13,11
1,0,1,1,8.2,8.335,44,27.9993,3.0,49.0,52.0,1,1,13,12
1,0,1,1,9.02,9.85,41,30.0026,2.0,81.0,83.0,1,1,13,13
1,0,1,1,9.02,9.85,41,26.0027,3.0,39.0,42.0,1,1,13,14
1,0,1,1,9.84,10.605,38,19.9995,5.0,55.0,60.0,1,1,13,15
1,0,1,1,9.84,10.605,38,23.9994,2.0,76.0,78.0,1,1,13,16
1,0,1,1,8.2,9.09,40,19.0012,4.0,158.0,162.0,1,1,13,17
1,0,1,1,8.2,9.09,40,22.0028,3.0,141.0,144.0,1,1,13,18
1,0,1,1,6.56,7.575,47,16.9979,1.0,98.0,99.0,1,1,13,19
1,0,1,1,6.56,7.575,47,15.0013,0.0,64.0,64.0,1,1,13,20
1,0,1,1,5.74,6.06,46,19.9995,0.0,40.0,40.0,1,1,13,21
1,0,1,1,5.74,6.06,46,22.0028,0.0,30.0,30.0,1,1,13,22
1,0,1,1,4.92,6.82,50,12.998,1.0,14.0,15.0,1,1,13,23
1,0,1,1,4.92,6.82,50,12.998,0.0,14.0,14.0,1,1,14,0
1,0,1,1,4.1,6.06,54,11.0014,0.0,5.0,5.0,1,1,14,1
1,0,1,1,4.1,6.06,54,8.9981,0.0,1.0,1.0,1,1,14,2
1,0,1,1,4.1,6.82,54,7.0015,0.0,1.0,1.0,1,1,14,3
1,0,1,1,4.1,6.82,54,6.0032,0.0,8.0,8.0,1,1,14,5
1,0,1,1,4.1,9.09,54,8.116314001584257,0.0,17.0,17.0,1,1,14,6
1,0,1,1,4.1,6.06,74,11.0014,0.0,70.0,70.0,1,1,14,7
1,0,1,1,4.92,8.335,68,6.232044695740753,2.0,156.0,158.0,1,1,14,8
1,0,1,1,5.74,7.575,69,8.9981,0.0,117.0,117.0,1,1,14,9
1,0,1,1,7.38,9.09,55,12.998,4.0,40.0,44.0,1,1,14,10
1,0,1,1,7.38,8.335,51,19.0012,6.0,47.0,53.0,1,1,14,11
1,0,1,1,8.2,9.85,44,16.9979,2.0,59.0,61.0,1,1,14,12
1,0,1,1,9.02,9.85,37,26.0027,4.0,73.0,77.0,1,1,14,13
1,0,1,1,9.02,10.605,41,19.0012,5.0,59.0,64.0,1,1,14,14
1,0,1,1,9.84,12.12,38,11.0014,9.0,59.0,68.0,1,1,14,15
1,0,1,1,9.02,12.12,41,7.0015,3.0,87.0,90.0,1,1,14,16
1,0,1,1,9.02,11.365,41,11.0014,4.0,155.0,159.0,1,1,14,17
1,0,1,1,8.2,12.88,47,8.776922544046831,5.0,134.0,139.0,1,1,14,18
1,0,1,1,6.56,9.85,59,6.0032,3.0,89.0,92.0,1,1,14,19
1,0,1,1,7.38,12.12,59,5.178693318087098,0.0,68.0,68.0,1,1,14,20
